source,date,text,compound,positive,negative,neutral,ind
CBS,Sun Aug 12 15:04:59 +0000 2018,Clear your schedules for the 100th #PGAChamp! Stream the Final Round LIVE on @cbsallaccess at 2 PM ET across all de… https://t.co/m6bH2pKTUN,0.4389,0.126,0.0,0.874,15
CBS,Sat Aug 11 18:00:00 +0000 2018,The fortune teller you’ll meet this Saturday lived a life of luxury... by scamming her victims out of hundreds of t… https://t.co/fJo6F2Eo5p,-0.3182,0.0,0.103,0.897,16
CBS,Sat Aug 11 15:00:02 +0000 2018,The 100th PGA Championship continues today! Stream it LIVE on @cbsallaccess at 2PM ET across all devices. Try 1 Wee… https://t.co/jbMg06eOND,0.4926,0.144,0.0,0.856,17
CBS,Fri Aug 10 22:28:55 +0000 2018,"To celebrate the 100th PGA Championship, relive some of the tournament's greatest moments with Luke Wilson. 

Don't… https://t.co/wUuB93smr4",0.8957,0.419,0.0,0.581,18
CBS,Fri Aug 10 19:59:14 +0000 2018,"RT @TrueCrimeCBS: When Glenn Walp and Steve Doran uncovered theft at the Los Alamos National Laboratory, they HAD to blow their whistles. W…",0.0,0.0,0.0,1.0,19
CBS,Thu Aug 09 21:00:00 +0000 2018,Want to create your own @CBSBigBrother or @TKOCBS meme using one the photos here? It’s your lucky day! Head over to… https://t.co/JHJWykNkQT,0.6696,0.255,0.0,0.745,20
CBS,Thu Aug 09 18:47:00 +0000 2018,Time to celebrate! Your favorite Daytime shows will premiere with new seasons this fall. See all of the @CBSDaytime… https://t.co/GNkK4Zf2kD,0.7901,0.28,0.0,0.72,21
CBS,Wed Aug 08 16:05:11 +0000 2018,"Love is in the air, and the water! International smash hit #LoveIsland is coming to CBS. https://t.co/nepabuNoSU https://t.co/Cxgvkv463u",0.6696,0.209,0.0,0.791,22
CBS,Tue Aug 07 16:06:57 +0000 2018,The Executive Producers of @CBSBigBrother are teaming up with @KingJames and @MavCarter for an unprecedented televi… https://t.co/V88bDeHmQs,0.0,0.0,0.0,1.0,23
CBS,Mon Aug 06 00:20:55 +0000 2018,"RT @cbsallaccess: Executive Producer of Tell Me A Story, @kevwilliamson, says ""What I like about the show, there’s nothing else on TV like…",0.3612,0.111,0.0,0.889,24
CBS,Mon Aug 06 00:07:38 +0000 2018,RT @TheNeighborhood: Feel the love in this new teaser for #TheNeighborhood from the #CBS #TCA18! 🤗 https://t.co/rPmCozH5XP,0.5411,0.219,0.098,0.683,25
CBS,Mon Aug 06 00:02:58 +0000 2018,RT @TheNeighborhood: Find out why Cedric the Entertainer and the cast think #TheNeighborhood is the kind of show that everyone can relate t…,0.3818,0.106,0.0,0.894,26
CBS,Mon Aug 06 00:02:02 +0000 2018,That's all for our #CBS #TCA18 panels! Tune in this fall to watch all your favorite new shows. 🙌 https://t.co/hM85o9eRi8,0.5093,0.155,0.0,0.845,27
CBS,Sun Aug 05 23:58:41 +0000 2018,"RT @MagnumPICBS: ""If there was ever a time to bring back #MagnumPI, it's now."" - @PLenkov 
#CBS #TCA2018",0.0,0.0,0.0,1.0,28
CBS,Sun Aug 05 23:44:39 +0000 2018,"RT @MagnumPICBS: ""There are a lot of easter eggs from the original that fans from the original series will love, and they're peppered throu…",0.8316,0.306,0.0,0.694,29
CBS,Sun Aug 05 23:41:21 +0000 2018,"RT @MagnumPICBS: ""What we are trying to do is introduce the show to a new audience...it's going to open it up for anyone that's new and the…",0.0,0.0,0.0,1.0,30
CBS,Sun Aug 05 23:35:49 +0000 2018,"RT @MagnumPICBS: ""This has been my white whale since I was a kid. I always loved #MagnumPI. Putting words in Magnum's mouth is something I'…",0.5994,0.157,0.0,0.843,31
CBS,Sun Aug 05 23:35:46 +0000 2018,RT @MagnumPICBS: It's #MagnumPI time at the #CBS #TCA2018! Follow along as we live tweet the panel!,0.0,0.0,0.0,1.0,32
CBS,Sun Aug 05 23:16:25 +0000 2018,RT @happytogether: Thanks for following along! That concludes the #HappyTogether panel at the #CBS #TCA2018! @MagnumPICBS is up next!,0.5826,0.173,0.0,0.827,33
